itemId, animal, size, isActive, expenseRange, isGoodWithKids
1, Dog, large, Yes, 750-999, Yes
2, Dog, medium, Yes, 500-749, Yes
3, Dog, medium, No, 500-749, Yes
4, Dog, small, Yes, 200-499, No
5, Dog, large, Yes, 750-999, Yes
6, Dog, large, Yes, 750-999, Yes
7, Cat, small, Yes, 200-499, Yes
8, Cat, large, No, 500-749, Yes
9, Cat, small, No, 200-499, No
10, Cat, medium, Yes, 500-749, No
11, Bird, small, Yes, 200-499, Yes
12, Bird, small, Yes, 200-499, Yes
13, Bird, small, Yes, 200-499, Yes
14, Bird, large, Yes, 750-999, No
15, Rabbit, small, Yes, 200-499, Yes
16, Rabbit, small, Yes, 200-499, Yes
17, Rabbit, large, No, 500-749, Yes
18, Reptile, medium, No, 500-749, No
19, Reptile, medium, No, 500-749, No
20, Reptile, small, No, 200-499, No
